"task_id","username","created_at","is_complete","task_name","task_position","time_estimate"
"2023-06-22T23:15:00Z_Swan123","Swan123","2023-06-22T23:15:00Z","false","Configuring AWS Lambda","1","5"
"2023-06-22T17:30:00Z_Swan123","Swan123","2023-06-22T17:30:00Z","false","Prepare Slide for INNOVA group project","2","30"
"2023-06-22T18:45:00Z_DavidChoo","DavidChoo","2023-06-22T18:45:00Z","true","meditate","1","10"
"2023-06-22T14:45:00Z_DavidChoo","DavidChoo","2023-06-22T14:45:00Z","false","Finish Business Model Canvas for Poly Fintech hackathon","1","25"
"2023-06-22T22:00:00Z_Abhishek","Abhishek","2023-06-22T22:00:00Z","false","Catch up CADV E-lessons","2","180"
"2023-06-22T11:30:00Z_Abhishek","Abhishek","2023-06-22T11:30:00Z","false","Organize files and folders","4","15"
"2023-06-24T21:12:29.925Z_Abhishek","Abhishek","2023-06-24T21:12:30.446Z","false","Clean my room","3","45"
"2023-06-22T19:30:00Z_DavidChoo","DavidChoo","2023-06-22T19:30:00Z","false","Gather resources required for case study","2","30"
"2023-06-22T16:15:00Z_Swan123","Swan123","2023-06-22T16:15:00Z","true","Read Atomic Habit Book Chapter 3","3","20"
"2023-06-23T10:30:00Z_DavidChoo","DavidChoo","2023-06-23T10:30:00Z","false","Finish Business Model Canvas for Poly Fintech hackathon","3","25"
"2023-06-22T10:00:00Z_Abhishek","Abhishek","2023-06-23T10:30:00Z","true","Clean My Study Desk","3","45"
"2023-06-22T20:45:00Z_Swan123","Swan123","2023-06-22T20:45:00Z","false","Practice LeetCode(2 Medium Problems)","4","25"
